Pop2023,Pop2022,City,Country,Continent,growthRate,rank,Year
1448124,1413646,Basra,Iraq,Asia,0.0244,368,2023
1446810,1414649,Taizhou Jiangsu,China,Asia,0.0227,369,2023
1443429,1397632,Homs,Syria,Asia,0.0328,370,2023
1440396,1388979,Mombasa,Kenya,Africa,0.037,371,2023
1437233,1383909,Niamey,Niger,Africa,0.0385,372,2023
1437188,1422635,Ottawa,Canada,North America,0.0102,373,2023
1431538,1419621,Zurich,Switzerland,Europe,0.0084,374,2023
1429315,1389782,Weihai,China,Asia,0.0284,375,2023
1424982,1373885,Jiaxing,China,Asia,0.0372,376,2023
1423395,1366342,Kisangani,DR Congo,Africa,0.0418,377,2023
1422974,1382031,Hai Phong,Vietnam,Asia,0.0296,378,2023
1421827,1407889,Joao Pessoa,Brazil,South America,0.0099,379,2023
1421052,1423343,Kharkiv,Ukraine,Europe,-0.0016,380,2023
1416064,1390010,Taian Shandong,China,Asia,0.0187,381,2023
1413474,1389302,Queretaro,Mexico,North America,0.0174,382,2023
1408144,1405192,Belgrade,Serbia,Europe,0.0021,383,2023
1407632,1383000,Konya,Turkey,Asia,0.0178,384,2023
1400250,1368920,Cochabamba,Bolivia,South America,0.0229,385,2023
1398262,1359105,Kaifeng,China,Asia,0.0288,386,2023
1391258,1353165,Rizhao,China,Asia,0.0282,387,2023
1389776,1367686,Dhanbad,India,Asia,0.0162,388,2023
1381498,1365580,Bucaramanga,Colombia,South America,0.0117,389,2023
1381005,1370131,Copenhagen,Denmark,Europe,0.0079,390,2023
1379377,1346126,Dongying,China,Asia,0.0247,391,2023
1378077,1322063,Liuan,China,Asia,0.0424,392,2023
1377572,1339649,Nanchong,China,Asia,0.0283,393,2023
1376453,1345424,Zunyi,China,Asia,0.0231,394,2023
1374076,1377838,San Diego,United States,North America,-0.0027,395,2023
1373523,1310870,Liuyang,China,Asia,0.0478,396,2023
1371998,1343882,Zhanjiang,China,Asia,0.0209,397,2023
1369066,1354431,Taizhong,Taiwan,Asia,0.0108,398,2023
1366783,1355522,Adelaide,Australia,Oceania,0.0083,399,2023
1365352,1349905,Suweon,South Korea,Asia,0.0114,400,2023
1363510,1350505,Maceio,Brazil,South America,0.0096,401,2023
1358871,1341605,Samut Prakan,Thailand,Asia,0.0129,402,2023
1354174,1333404,Qom,Iran,Asia,0.0156,403,2023
1354025,1318236,Shiyan,China,Asia,0.0271,404,2023
1351383,1326012,Mianyang Sichuan,China,Asia,0.0191,405,2023
1348664,1317085,Bareilly,India,Asia,0.024,406,2023
1348521,1334194,Joinville,Brazil,South America,0.0107,407,2023
1347240,1318826,Antalya,Turkey,Asia,0.0215,408,2023
1337786,1327762,Helsinki,Finland,Europe,0.0075,409,2023
1336387,1294612,Pointe-Noire,Republic of the Congo,Africa,0.0323,410,2023
1329291,1304688,Ad-Dammam,Saudi Arabia,Asia,0.0189,411,2023
1329284,1264636,Uyo,Nigeria,Africa,0.0511,412,2023
1324652,1320347,Porto,Portugal,Europe,0.0033,413,2023
1323339,1318085,Prague,Czech Republic,Europe,0.004,414,2023
1323174,1288451,Yingkou,China,Asia,0.0269,415,2023
1322916,1281380,Tengzhou,China,Asia,0.0324,416,2023
1314178,1277242,Tanger,Morocco,Africa,0.0289,417,2023
1312369,1278555,Aligarh,India,Asia,0.0264,418,2023
